customer_key,r_score,f_score,m_score,rfm_code,customer_segment
28814,3,3,3,333,Champions
29418,3,3,3,333,Champions
26875,3,3,3,333,Champions
28769,3,3,3,333,Champions
29520,3,3,3,333,Champions
29696,3,3,3,333,Champions
28639,3,3,3,333,Champions
27927,3,3,3,333,Champions
28879,3,3,3,333,Champions
30598,3,3,3,333,Champions
26495,3,3,3,333,Champions
27628,3,3,3,333,Champions
27378,3,3,3,333,Champions
27574,3,3,3,333,Champions
26575,3,3,3,333,Champions
26328,3,3,3,333,Champions
28456,3,3,3,333,Champions
30386,3,3,3,333,Champions
27594,3,3,3,333,Champions
27260,3,3,3,333,Champions
30076,3,3,3,333,Champions
29440,3,3,3,333,Champions
28637,3,3,3,333,Champions
29015,3,3,3,333,Champions
27540,3,3,3,333,Champions
29869,3,3,3,333,Champions
27576,3,3,3,333,Champions
26856,3,3,3,333,Champions
28641,3,3,3,333,Champions
26971,3,3,3,333,Champions
30137,3,3,3,333,Champions
30009,3,3,3,333,Champions
29323,3,3,3,333,Champions
29376,3,3,3,333,Champions
26934,3,3,3,333,Champions
27763,3,3,3,333,Champions
28442,3,3,3,333,Champions
28608,3,3,3,333,Champions
29921,3,3,3,333,Champions
30250,3,3,3,333,Champions
29928,3,3,3,333,Champions
27309,3,3,3,333,Champions
30268,3,3,3,333,Champions
27854,3,3,3,333,Champions
27373,3,3,3,333,Champions
28273,3,3,3,333,Champions
28920,3,3,3,333,Champions
28038,3,3,3,333,Champions
27044,3,3,3,333,Champions
28306,3,3,3,333,Champions
26471,3,3,3,333,Champions
29158,3,3,3,333,Champions
28994,3,3,3,333,Champions
28902,3,3,3,333,Champions
27610,3,3,3,333,Champions
29485,3,3,3,333,Champions
26458,3,3,3,333,Champions
29719,3,3,3,333,Champions
28119,3,3,3,333,Champions
26578,3,3,3,333,Champions
27570,3,3,3,333,Champions
27715,3,3,3,333,Champions
29420,3,3,3,333,Champions
28356,3,3,3,333,Champions
30347,3,3,3,333,Champions
26743,3,3,3,333,Champions
29421,3,3,3,333,Champions
28489,3,3,3,333,Champions
29861,3,3,3,333,Champions
30546,3,3,3,333,Champions
29273,3,3,3,333,Champions
29209,3,3,3,333,Champions
28451,3,3,3,333,Champions
28464,3,3,3,333,Champions
28360,3,3,3,333,Champions
30202,3,3,3,333,Champions
29832,3,3,3,333,Champions
30582,3,3,3,333,Champions
30173,3,3,3,333,Champions
28195,3,3,3,333,Champions
29629,3,3,3,333,Champions
30280,3,3,3,333,Champions
26299,3,3,3,333,Champions
30579,3,3,3,333,Champions
28998,3,3,3,333,Champions
27600,3,3,3,333,Champions
27837,3,3,3,333,Champions
29255,3,3,3,333,Champions
28359,3,3,3,333,Champions
27266,3,3,3,333,Champions
27059,3,3,3,333,Champions
27361,3,3,3,333,Champions
29780,3,3,3,333,Champions
29647,3,3,3,333,Champions
27228,3,3,3,333,Champions
26607,3,3,3,333,Champions
28467,3,3,3,333,Champions
29097,3,3,3,333,Champions
30322,3,3,3,333,Champions
26363,3,3,3,333,Champions
28527,3,3,3,333,Champions
26712,3,3,3,333,Champions
30226,3,3,3,333,Champions
26602,3,3,3,333,Champions
29900,3,3,3,333,Champions
26456,3,3,3,333,Champions
26889,3,3,3,333,Champions
26809,3,3,3,333,Champions
26801,3,3,3,333,Champions
30313,3,3,3,333,Champions
27702,3,3,3,333,Champions
27156,3,3,3,333,Champions
28886,3,3,3,333,Champions
30062,3,3,3,333,Champions
29713,3,3,3,333,Champions
26708,3,3,3,333,Champions
30222,3,3,3,333,Champions
27788,3,3,3,333,Champions
28789,3,3,3,333,Champions
26793,3,3,3,333,Champions
28264,3,3,3,333,Champions
29707,3,3,3,333,Champions
28817,3,3,3,333,Champions
27413,3,3,3,333,Champions
27183,3,3,3,333,Champions
28620,3,3,3,333,Champions
27229,3,3,3,333,Champions
27725,3,3,3,333,Champions
30519,3,3,3,333,Champions
27867,3,3,3,333,Champions
28248,3,3,3,333,Champions
28378,3,3,3,333,Champions
29677,3,3,3,333,Champions
28012,3,3,3,333,Champions
29943,3,3,3,333,Champions
27018,3,3,3,333,Champions
30150,3,3,3,333,Champions
29486,3,3,3,333,Champions
27558,3,3,3,333,Champions
27519,3,3,3,333,Champions
27581,3,3,3,333,Champions
26701,3,3,3,333,Champions
30394,3,3,3,333,Champions
27967,3,3,3,333,Champions
27793,3,3,3,333,Champions
26797,3,3,3,333,Champions
27029,3,3,3,333,Champions
27858,3,3,3,333,Champions
28760,3,3,3,333,Champions
26964,3,3,3,333,Champions
30627,3,3,3,333,Champions
27695,3,3,3,333,Champions
27346,3,3,3,333,Champions
28354,3,3,3,333,Champions
30318,3,3,3,333,Champions
26828,3,3,3,333,Champions
27504,3,3,3,333,Champions
29216,3,3,3,333,Champions
30301,3,3,3,333,Champions
28520,3,3,3,333,Champions
28841,3,3,3,333,Champions
28590,3,3,3,333,Champions
27025,3,3,3,333,Champions
27687,3,3,3,333,Champions
28085,3,3,3,333,Champions
26393,3,3,3,333,Champions
27010,3,3,3,333,Champions
26769,3,3,3,333,Champions
30080,3,3,3,333,Champions
26582,3,3,3,333,Champions
30047,3,3,3,333,Champions
27592,3,3,3,333,Champions
28473,3,3,3,333,Champions
28782,3,3,3,333,Champions
29609,3,3,3,333,Champions
26959,3,3,3,333,Champions
30330,3,3,3,333,Champions
26301,3,3,3,333,Champions
28305,3,3,3,333,Champions
29321,3,3,3,333,Champions
29085,3,3,3,333,Champions
29057,3,3,3,333,Champions
28497,3,3,3,333,Champions
29927,3,3,3,333,Champions
28669,3,3,3,333,Champions
29310,3,3,3,333,Champions
26389,3,3,3,333,Champions
28249,3,3,3,333,Champions
29351,3,3,3,333,Champions
28181,3,3,3,333,Champions
29495,3,3,3,333,Champions
28522,3,3,3,333,Champions
29717,3,3,3,333,Champions
27889,3,3,3,333,Champions
27142,3,3,3,333,Champions
28990,3,3,3,333,Champions
28772,3,3,3,333,Champions
26910,3,3,3,333,Champions
29432,3,3,3,333,Champions
27604,3,3,3,333,Champions
27459,3,3,3,333,Champions
28335,3,3,3,333,Champions
26826,3,3,3,333,Champions
28373,3,3,3,333,Champions
26338,3,3,3,333,Champions
28535,3,3,3,333,Champions
30134,3,3,3,333,Champions
28182,3,3,3,333,Champions
29803,3,3,3,333,Champions
27851,3,3,3,333,Champions
28185,3,3,3,333,Champions
30538,3,3,3,333,Champions
27281,3,3,3,333,Champions
28406,3,3,3,333,Champions
29465,3,3,3,333,Champions
29545,3,3,3,333,Champions
29115,3,3,3,333,Champions
26499,3,3,3,333,Champions
29160,3,3,3,333,Champions
28414,3,3,3,333,Champions
29309,3,3,3,333,Champions
27165,3,3,3,333,Champions
30130,3,3,3,333,Champions
27656,3,3,3,333,Champions
28082,3,3,3,333,Champions
27684,3,3,3,333,Champions
26847,3,3,3,333,Champions
27354,3,3,3,333,Champions
28766,3,3,3,333,Champions
27248,3,3,3,333,Champions
29682,3,3,3,333,Champions
26528,3,3,3,333,Champions
27343,3,3,3,333,Champions
29101,3,3,3,333,Champions
28452,3,3,3,333,Champions
27395,3,3,3,333,Champions
28851,3,3,3,333,Champions
26880,3,3,3,333,Champions
30158,3,3,3,333,Champions
27110,3,3,3,333,Champions
30373,3,3,3,333,Champions
30547,3,3,3,333,Champions
28233,3,3,3,333,Champions
27958,3,3,3,333,Champions
28510,3,3,3,333,Champions
29302,3,3,3,333,Champions
29590,3,3,3,333,Champions
26768,3,3,3,333,Champions
29587,3,3,3,333,Champions
28743,3,3,3,333,Champions
26334,3,3,3,333,Champions
28279,3,3,3,333,Champions
26455,3,3,3,333,Champions
28499,3,3,3,333,Champions
29871,3,3,3,333,Champions
28546,3,3,3,333,Champions
27515,3,3,3,333,Champions
28695,3,3,3,333,Champions
28176,3,3,3,333,Champions
26559,3,3,3,333,Champions
29177,3,3,3,333,Champions
28525,3,3,3,333,Champions
27197,3,3,3,333,Champions
28449,3,3,3,333,Champions
27490,3,3,3,333,Champions
30282,3,3,3,333,Champions
26741,3,3,3,333,Champions
28944,3,3,3,333,Champions
29267,3,3,3,333,Champions
30274,3,3,3,333,Champions
27873,3,3,3,333,Champions
26670,3,3,3,333,Champions
29153,3,3,3,333,Champions
26361,3,3,3,333,Champions
30075,3,3,3,333,Champions
28453,3,3,3,333,Champions
29350,3,3,3,333,Champions
28375,3,3,3,333,Champions
28541,3,3,3,333,Champions
27536,3,3,3,333,Champions
28919,3,3,3,333,Champions
27048,3,3,3,333,Champions
27206,3,3,3,333,Champions
27238,3,3,3,333,Champions
27365,3,3,3,333,Champions
29791,3,3,3,333,Champions
30284,3,3,3,333,Champions
29242,3,3,3,333,Champions
30179,3,3,3,333,Champions
26465,3,3,3,333,Champions
28280,3,3,3,333,Champions
26972,3,3,3,333,Champions
26997,3,3,3,333,Champions
27713,3,3,3,333,Champions
26566,3,3,3,333,Champions
28989,3,3,3,333,Champions
26695,3,3,3,333,Champions
28203,3,3,3,333,Champions
26496,3,3,3,333,Champions
26467,3,3,3,333,Champions
27796,3,3,3,333,Champions
